,name,era,story,asked,size,distance,mass,mult,si,di,credits,credch,population,change,iq,iqch,pdensity,oxygen,co2,pollute,water,land,temp,biomes,farms,factory,fuel,mine,ai,satellite,dyson
825657133110132746,xaea-xii,3.0,0.0,0.0,1.0,2.0,1.0,0.95,96.25,202.8,10337.0,0.0,-21962639.0,0.0,178.8,0.0,9.0,50.3,-4.35,46.0,34.8,120.2,1.6,90.0,12.0,1.0,1.0,6.0,0.0,0.0,0.0
825657292884148224,a-u-a,1.0,0.0,0.0,2.0,2.0,2.0,1.0,92.4,0.0,6216.0,1216.0,-906387.0,-918588.0,21.4296354357936,0.0,3.0,25.0,0.0,0.0,60.0,40.0,17.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825657524345896990,muski-tears,1.0,0.0,0.0,1.0,2.0,1.0,0.95,96.25,65.0,5954.0,-760.0,-4479164.0,0.0,37.23,13.04,3.0,35.5,-2.65,-13.0,58.0,76.0,15.699999999999989,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825657665606385684,v-r-a,1.0,0.0,0.0,1.0,3.0,1.0,0.95,96.25,0.0,6356.0,1356.0,-2945622.0,-2949999.0,21.4296354357936,0.0,3.0,25.0,0.0,0.0,50.0,50.0,14.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825657772833374219,a-c-u,1.0,0.0,0.0,1.0,3.0,1.0,0.95,96.25,0.0,6356.0,1356.0,-2945622.0,-3025048.0,21.4296354357936,0.0,3.0,25.0,0.0,0.0,50.0,50.0,14.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825657898016833536,a-g-s,4.0,0.0,0.0,3.0,2.0,3.0,1.05,80.85,156.0,-160397.0,0.0,13147396.0,0.0,137.7213364752618,0.0,14.0,63.0,-9.4,-48.0,82.0,126.0,4.199999999999995,107.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
825657966707343360,t-v-d,1.0,0.0,0.0,2.0,3.0,2.0,1.0,92.4,0.0,6216.0,1216.0,-906387.0,-935149.0,21.4296354357936,0.0,3.0,25.0,0.0,0.0,60.0,40.0,14.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825658026731372554,a-y-h,1.0,0.0,0.0,1.0,1.0,1.0,0.95,96.25,0.0,6356.0,1356.0,-2945622.0,-2963001.0,21.4296354357936,0.0,3.0,25.0,0.0,0.0,50.0,50.0,11.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825658145526251540,g-p-a,1.0,0.0,0.0,1.0,1.0,1.0,0.95,96.25,0.0,6356.0,1356.0,-2945622.0,-3011390.0,21.4296354357936,0.0,3.0,25.0,0.0,0.0,50.0,50.0,11.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825700567682646046,h-k-w,4.0,0.0,0.0,2.0,1.0,2.0,1.0,92.4,275.7,35503.0,0.0,11826219.0,0.0,222.95,0.0,17.0,62.0,-7.95,52.0,49.5,131.0,-8.700000000000001,95.0,18.0,5.0,0.0,3.0,2.0,0.0,0.0
